"2016-06-10" "2016-06-17" "2016-07-12" "2016-08-13" "2016-08-29" "2017-06-04" "2017-06-13" "2017-07-06" "2017-09-08"
"17" NA NA 0 NA NA 0 NA NA NA
"18" NA NA 0 NA NA 0 NA NA NA
"19" NA NA 0 NA NA 0 NA NA NA
"20" NA NA 0 NA NA NA NA NA NA
"21" NA NA 0 NA NA NA NA NA NA
"22" NA NA NA NA NA NA NA NA NA
"23" NA NA NA NA NA NA NA NA NA
"24" NA NA NA NA NA NA NA NA NA
"25" NA NA NA NA NA NA NA NA NA
"26" NA NA NA NA NA NA NA NA NA
"27" NA NA NA NA NA NA NA NA NA
"28" NA NA NA NA NA NA NA NA NA
"29" NA NA NA NA NA NA NA NA NA
"30" NA NA NA NA NA NA NA NA NA
"31" NA NA NA NA NA NA NA NA NA
"32" NA NA NA NA NA NA NA NA NA
"33" NA NA NA NA NA NA NA NA NA
"34" NA NA NA NA NA NA NA NA NA
"35" NA NA NA NA NA NA NA NA NA
"36" NA NA NA NA NA NA NA NA NA
"37" NA NA NA NA NA NA NA NA NA
"38" NA NA NA NA NA NA NA NA NA
"39" NA NA NA NA NA NA NA NA NA
