"Date" "rc_Q" "gauge_Q"
2016-06-23 5990.44272178112 4663.13334623079
2016-08-18 NA 5030.96918346086
2016-09-03 3229.5785252264 3796.2130878167
2016-09-08 4270.34132914711 3489.76817399808
2016-09-09 3295.97386464803 3471.16400578714
2016-09-14 2491.40857768878 3228.120511488
2017-05-17 4512.19946973639 4220.39944976487
2017-06-01 3081.7154217216 3440.496860928
2017-06-01 4108.29876870388 3440.496860928
2017-06-13 3787.11805738473 4470.23898724608
2017-06-19 3590.56264379459 4105.94275584
2017-06-20 NA 4030.13855751322
2017-06-23 3584.9728424695 4024.531821888
2017-06-29 4205.70727335437 4541.314272192
2017-07-07 NA 4325.68148539392
2017-07-14 4048.14332967114 4812.98609839565
2017-07-19 4139.82710138852 4819.1874877993
2017-07-20 5594.91495538436 4852.20493092557
2017-07-30 3775.27633700707 4820.06531004365
2017-08-03 4513.22363841902 4992.59985632871
2017-08-05 6128.74785805173 4720.0785247273
2017-08-05 4007.81421445106 4720.0785247273
2017-08-07 NA 4430.99183786957
2017-08-09 3928.49598175789 4156.96971339878
2017-08-10 4032.81561179056 4082.9494764073
2017-08-16 3142.60776744341 3454.93845268992
2017-08-24 2665.2888395635 2624.23544106701
2017-08-31 NA 3165.59691421286
2017-09-03 3243.93390871778 3001.86890721792
2017-09-03 2759.87009080264 3001.86890721792
2017-09-08 2389.06359460065 2670.47685155174
2017-09-11 2665.82329801572 2700.40775839949
2017-09-16 2663.96728976231 NA
2017-09-17 2473.18140319711 NA
2018-05-19 6124.18196438718 4307.98345627392
2018-05-19 4213.65420372616 4307.98345627392
2018-05-20 4384.86663396101 4384.69379369165
2018-05-21 6234.57117245646 4432.46431389235
2018-05-28 6133.84089136837 5029.18522212556
2018-06-07 4575.80779374997 4375.23596692992
2018-06-13 3893.25203668009 4754.87992918886
2018-06-14 6170.17910371022 4552.81091190835
2018-06-15 4908.98702843315 4451.94630434765
2018-06-20 NA 4168.18318464921
2018-06-20 NA 4168.18318464921
2018-06-21 5650.80192406764 4168.77783842765
2018-06-21 3066.89092217207 4168.77783842765
2018-07-01 4726.87031640588 4832.75125731687
2018-07-03 4364.55838183458 5529.74211933235
2018-07-04 5724.29761912526 5563.66570154957
2018-07-13 3743.01285853347 4024.531821888
2018-07-14 4325.97333020935 3896.51135844557
2018-07-16 4426.54687216838 3457.00558249114
2018-07-18 3389.69406727596 3374.71682629478
2018-07-21 2936.00253787522 3240.80645876122
2018-07-22 2976.20911403485 3229.30981904487
2018-07-22 2851.60007434009 3229.30981904487
2018-07-24 3293.62299661235 3231.37694884608
2018-07-26 NA 3434.60695683687
2018-07-26 NA 3434.60695683687
2018-07-29 3111.60959063343 3383.26851396557
2018-07-30 4034.30417033038 3398.89941328435
2018-07-31 3352.95481912903 3370.29939822643
2018-08-10 2520.55475905354 3940.77058966886
2018-08-20 5698.19653854326 4457.24155466035
2018-09-02 4159.07509925409 4528.62832491878
2018-09-08 3461.7033507653 3672.3552008233
2018-09-08 2836.09805775546 3672.3552008233
2018-09-09 4472.20580424245 3559.65415138714
2018-09-10 2912.71615035097 3447.29290411008
2018-09-14 2927.23061273512 3121.932336768
2018-09-15 3041.00020439318 3084.78063403929
2018-09-15 4242.02064415285 3084.78063403929
2018-09-15 NA 3084.78063403929
2018-09-17 2603.0549034067 NA
2018-09-18 2504.09715980786 NA
