"Date" "rc_Q" "gauge_Q"
2016-05-17 10676.8949518063 12572.0852330696
2016-05-30 10351.6020565454 10579.0039856917
2016-06-25 NA 7003.0959643607
2016-06-26 9045.78156178586 6893.67966912922
2016-08-18 NA 10029.4872607273
2016-08-27 9114.28490608319 8258.18355585792
2016-08-31 9899.39807739867 7525.20198182401
2016-09-01 9899.39807739867 7389.81913826765
2017-05-17 NA 9372.876221952
2017-05-31 8004.15019758103 8674.97922084557
2017-06-13 7160.12280893098 6201.389403648
2017-06-14 5125.1343433504 6142.40541219687
2017-06-15 4889.56728193705 5940.93104869479
2017-06-19 6260.75449481471 6042.70179534643
2017-06-21 4849.96561187012 5766.89570954035
2017-06-27 4384.56993187795 4990.84421184
2017-06-27 3342.94187324602 4990.84421184
2017-07-08 NA 5026.83492385844
2017-07-15 5214.40227255595 5423.55394461235
2017-07-18 NA 5594.04967794279
2017-07-29 5194.96975742139 5685.20160712243
2017-07-30 5649.73205249981 5663.08614993408
2017-08-06 6775.66416303354 5974.854630912
2017-08-07 6671.7852073994 5999.91504014592
2017-08-16 4939.32750479948 4992.91134164122
2017-08-22 3775.29587508291 5002.05768309043
2017-09-02 NA 4871.37543606835
2017-09-03 3819.45874150204 5117.39219925965
2017-09-08 5526.18608448597 5285.82080278887
2017-09-08 8361.53928069202 5285.82080278887
2017-09-09 NA 5182.57758011444
2017-09-15 NA 4836.8572000727
2018-05-16 NA 8704.76854346035
2018-05-18 10728.5186466238 10932.9645680916
2018-05-18 10107.6851596784 10932.9645680916
2018-05-19 9997.45827633039 11348.8540939883
2018-05-25 NA 10455.7124356301
2018-05-28 10890.660286622 11764.7719367317
2018-05-29 NA 12221.7208901867
2018-05-29 9736.82067409072 12221.7208901867
2018-06-04 9070.81799385289 8456.118313536
2018-06-05 10181.1701856651 7995.2899520978
2018-06-05 NA 7995.2899520978
2018-06-06 6678.2222525475 7728.43198981479
2018-06-07 9796.06641829415 7677.48998279578
2018-06-07 NA 7677.48998279578
2018-06-08 10070.0405730918 7803.0468805847
2018-06-15 NA 7473.12730094132
2018-06-20 NA 6370.69582942157
2018-06-21 7695.13092969971 6402.26911337165
2018-06-21 3493.58101764946 6402.26911337165
2018-06-23 10365.9649922007 6211.13039887565
2018-06-23 NA 6211.13039887565
2018-06-27 NA 7129.36078331444
2018-07-01 NA 7570.93368907009
2018-07-03 1957.81997954235 7217.256275136
2018-07-04 7509.68248265823 6973.02347328
2018-07-07 8751.76431871997 7490.08909204992
2018-07-13 10225.4227416577 6691.04431491687
2018-07-17 7228.505817267 5901.11756238643
2018-07-20 NA 5213.24472497357
2018-07-22 NA 5125.63240161792
2018-07-23 4707.16899417131 5056.02959269478
2018-07-26 4399.39751398557 5052.32008579123
2018-07-28 NA 4889.9796042793
2018-07-29 NA 4841.58611345357
2018-07-31 NA 4780.22350688871
2018-08-18 NA 6296.95876089601
2018-08-23 NA 7099.25997538713
2018-08-31 NA 8002.76559959808
2018-09-07 NA 7986.82321496679
2018-09-08 NA 7835.49798677914
2018-09-09 10184.7769707456 7701.30445077965
2018-09-11 10088.5485353483 7483.60453418035
2018-09-13 9767.67423453128 7218.72875115879
2018-09-14 NA 6965.944261632
2018-09-15 4930.6759179723 6641.17834806836
