"2018-05-27" "2018-05-29" "2018-06-02" "2018-06-08" "2018-06-25" "2018-06-27" "2018-07-03" "2018-07-13" "2018-07-20" "2018-07-21" "2018-07-23" "2018-07-29" "2018-07-31" "2018-08-10" "2018-08-11" "2018-08-19" "2018-09-07" "2018-09-11" "2018-09-13" "2018-09-14" "2016-08-17" "2016-08-22" "2016-09-01" "2017-05-15" "2017-05-18" "2017-06-03" "2017-06-06" "2017-06-14" "2017-06-15" "2017-06-28" "2017-07-06" "2017-07-08" "2017-07-14" "2017-07-18" "2017-07-19" "2017-07-29" "2017-07-30" "2017-08-05" "2017-08-09" "2017-08-21" "2017-08-31" "2017-09-02" "2017-09-04" "2017-09-08" "2017-09-16"
1061.07 519.580000000002 510.190000000002 995.340000000003 985.950000000003 1010.99 1039.16 NA 832.580000000003 973.430000000003 957.780000000003 1017.25 1070.46 1051.68 1061.07 1079.85 1079.85 957.780000000003 594.700000000002 519.580000000002 1070.46 1054.81 1073.59 1051.68 1020.38 259.790000000001 287.960000000001 1054.81 982.820000000003 NA 1064.2 1045.42 1067.33 1067.33 1064.2 1045.42 1023.51 1057.94 1082.98 1079.85 NA 751.200000000002 1076.72 1061.07 566.530000000002
1048.55 482.020000000001 472.630000000001 1017.25 989.080000000003 1004.73 1004.73 NA 804.410000000002 973.430000000003 939.000000000003 998.470000000003 1054.81 1054.81 1076.72 1082.98 1070.46 923.350000000003 676.080000000002 544.620000000002 1073.59 1057.94 1079.85 1076.72 1036.03 275.440000000001 256.660000000001 1017.25 967.170000000003 NA 1039.16 1010.99 1070.46 1045.42 1064.2 1007.86 1039.16 1023.51 1079.85 1054.81 NA 682.340000000002 1073.59 1026.64 516.450000000002
1017.25 410.030000000001 425.680000000001 998.470000000003 982.820000000003 998.470000000003 995.340000000003 NA 832.580000000003 989.080000000003 970.300000000003 985.950000000003 998.470000000003 998.470000000003 1007.86 1007.86 1023.51 989.080000000003 619.740000000002 532.100000000002 985.950000000003 995.340000000003 1001.6 995.340000000003 1017.25 184.670000000001 219.100000000001 954.650000000003 923.350000000003 NA 973.430000000003 964.040000000003 982.820000000003 979.690000000003 982.820000000003 967.170000000003 970.300000000003 976.560000000003 982.820000000003 960.910000000003 NA 679.210000000002 1010.99 1010.99 381.860000000001
1089.24 413.160000000001 444.460000000001 1026.64 1020.38 1032.9 1039.16 NA 813.800000000002 1014.12 942.130000000003 1020.38 1054.81 1061.07 1086.11 1095.5 1064.2 870.140000000003 619.740000000002 554.010000000002 1070.46 1067.33 1082.98 1089.24 1079.85 262.920000000001 241.010000000001 1023.51 995.340000000003 NA 1054.81 1029.77 1067.33 1064.2 1061.07 1017.25 1048.55 1051.68 1095.5 1089.24 NA 710.510000000002 1076.72 1067.33 485.150000000002
1042.29 419.420000000001 428.810000000001 1029.77 1023.51 1026.64 1017.25 NA 801.280000000002 1026.64 995.340000000003 1020.38 1032.9 1026.64 1026.64 1048.55 1039.16 917.090000000003 579.050000000002 472.630000000001 1032.9 1029.77 1039.16 1067.33 1073.59 197.190000000001 209.710000000001 1004.73 951.520000000003 NA 1014.12 1010.99 1026.64 1017.25 1020.38 1001.6 1014.12 1017.25 1057.94 1023.51 NA 719.900000000002 1051.68 1042.29 460.110000000001
1036.03 410.030000000001 410.030000000001 1020.38 1007.86 1010.99 1014.12 NA 807.540000000002 1023.51 967.170000000003 1020.38 1023.51 1010.99 1029.77 1032.9 1036.03 967.170000000003 525.840000000002 453.850000000001 1014.12 1026.64 1029.77 1029.77 1086.11 178.410000000001 206.580000000001 992.210000000003 945.260000000003 NA 1004.73 998.470000000003 1017.25 1017.25 1014.12 1001.6 998.470000000003 1014.12 1020.38 973.430000000003 NA 682.340000000002 1042.29 1039.16 431.940000000001
1054.81 388.120000000001 400.640000000001 1036.03 1020.38 1010.99 1036.03 NA 795.020000000002 1020.38 989.080000000003 1032.9 1036.03 1023.51 1045.42 1067.33 1051.68 970.300000000003 503.930000000002 431.940000000001 1036.03 1042.29 1048.55 1070.46 1054.81 178.410000000001 181.540000000001 1010.99 942.130000000003 NA 1017.25 1004.73 1026.64 1029.77 1026.64 1004.73 1017.25 1032.9 1067.33 1014.12 NA 701.120000000002 1057.94 1054.81 431.940000000001
1014.12 500.800000000002 450.720000000001 1010.99 989.080000000003 995.340000000003 992.210000000003 NA 882.660000000003 985.950000000003 967.170000000003 995.340000000003 989.080000000003 995.340000000003 1007.86 1010.99 1023.51 1017.25 669.820000000002 604.090000000002 985.950000000003 982.820000000003 995.340000000003 976.560000000003 1007.86 284.830000000001 347.430000000001 960.910000000003 951.520000000003 NA 973.430000000003 957.780000000003 982.820000000003 982.820000000003 982.820000000003 967.170000000003 970.300000000003 979.690000000003 982.820000000003 960.910000000003 NA 701.120000000002 1007.86 1001.6 425.680000000001
976.560000000003 532.100000000002 547.750000000002 989.080000000003 957.780000000003 939.000000000003 979.690000000003 NA 810.670000000002 957.780000000003 910.830000000003 967.170000000003 1051.68 1032.9 1032.9 1067.33 1051.68 942.130000000003 538.360000000002 488.280000000002 1054.81 1026.64 1057.94 1032.9 1032.9 281.700000000001 375.600000000001 976.560000000003 920.220000000003 NA 992.210000000003 964.040000000003 1032.9 1020.38 1010.99 951.520000000003 948.390000000003 982.820000000003 1095.5 1061.07 NA 751.200000000002 1029.77 985.950000000003 588.440000000002
550.880000000002 338.040000000001 334.910000000001 547.750000000002 541.490000000002 544.620000000002 541.490000000002 NA 497.670000000002 544.620000000002 541.490000000002 538.360000000002 547.750000000002 541.490000000002 544.620000000002 541.490000000002 550.880000000002 525.840000000002 384.990000000001 341.170000000001 547.750000000002 547.750000000002 547.750000000002 560.270000000002 557.140000000002 165.89 219.100000000001 538.360000000002 538.360000000002 NA 541.490000000002 538.360000000002 547.750000000002 541.490000000002 541.490000000002 535.230000000002 535.230000000002 541.490000000002 491.410000000002 525.840000000002 NA 410.030000000001 550.880000000002 554.010000000002 344.300000000001
