"2018-05-20" "2018-05-25" "2018-05-27" "2018-05-28" "2018-05-29" "2018-06-02" "2018-06-03" "2018-06-04" "2018-06-05" "2018-06-08" "2018-06-09" "2018-06-13" "2018-06-25" "2018-06-27" "2018-07-03" "2018-07-04" "2018-07-07" "2018-07-08" "2018-07-18" "2018-07-19" "2018-07-20" "2018-07-22" "2018-07-23" "2018-07-24" "2018-07-25" "2018-07-28" "2018-07-29" "2018-07-30" "2018-07-31" "2018-08-09" "2018-08-18" "2018-09-07" "2018-09-08" "2018-09-10" "2018-09-11" "2018-09-13" "2018-09-14" "2016-07-26" "2016-09-02" "2017-05-20" "2017-06-04" "2017-06-06" "2017-06-19" "2017-06-22" "2017-06-26" "2017-06-28" "2017-07-01" "2017-07-14" "2017-07-19" "2017-07-21" "2017-07-22" "2017-07-30" "2017-08-05" "2017-08-06" "2017-08-26" "2017-08-31" "2017-09-02" "2017-09-08" "2017-09-14" "2017-09-15" "2017-09-17"
377.52 NA NA NA NA 386.88 NA 390 399.36 418.08 NA NA NA 418.08 408.72 474.24 NA NA 427.44 NA 405.6 411.84 390 NA NA NA NA 424.32 418.08 NA 421.2 NA 424.32 NA NA 396.24 402.48 NA NA NA 293.28 NA 430.56 NA NA NA NA NA NA NA 424.32 NA 427.44 NA NA NA 414.96 NA 358.8 377.52 NA
374.4 NA NA NA NA 386.88 NA 393.12 402.48 396.24 NA NA NA 396.24 402.48 405.6 NA NA 402.48 NA 396.24 396.24 386.88 NA NA NA NA 399.36 396.24 NA 405.6 NA 402.48 NA NA 393.12 380.64 NA NA NA 318.24 NA 399.36 NA NA NA NA NA NA NA 390 NA 405.6 NA NA NA 402.48 NA 361.92 368.16 NA
829.92 NA NA NA NA 714.48 NA 836.16 867.36 911.04 NA NA NA 951.599999999999 873.6 NA NA NA NA NA 926.64 942.239999999999 917.28 NA 742.56 NA NA 976.559999999999 973.439999999999 NA 985.92 NA 970.319999999999 NA NA NA 867.36 NA NA NA 624 NA 942.239999999999 NA NA NA NA NA NA NA 936 NA 973.439999999999 NA NA NA 901.679999999999 NA 748.8 767.52 NA
720.72 NA NA NA NA 627.12 NA 726.96 798.72 811.2 NA NA NA 823.68 758.16 NA NA NA NA NA 783.12 814.32 776.88 NA 636.48 NA NA 829.92 829.92 NA 842.4 NA 833.04 NA NA NA 723.84 NA NA NA 536.64 NA 833.04 NA NA NA NA NA NA NA 811.2 NA 829.92 NA NA NA 770.64 NA 636.48 677.04 NA
767.52 NA NA NA NA 655.2 NA 761.28 814.32 808.08 NA NA NA 792.48 742.56 NA NA NA NA NA 764.4 795.6 767.52 NA 661.44 NA NA 811.2 814.32 NA 811.2 NA 808.08 NA NA NA 717.6 NA NA NA 505.44 NA 811.2 NA NA NA NA NA NA NA 804.96 NA 811.2 NA NA NA 767.52 NA 673.92 683.28 NA
864.24 NA NA NA NA 586.56 NA 811.2 605.28 948.479999999999 NA NA NA 954.719999999999 970.319999999999 NA NA NA NA NA 917.28 942.239999999999 945.359999999999 NA 698.88 NA NA 976.559999999999 1017.12 NA 1067.04 NA 992.16 NA NA NA 817.44 NA NA NA 452.4 NA 932.88 NA NA NA NA NA NA NA 705.12 NA 1054.56 NA NA NA 926.64 NA 689.52 726.96 NA
960.959999999999 NA NA NA NA 583.44 NA 911.04 814.32 1042.08 NA NA NA 1045.2 967.199999999999 NA NA NA NA NA 995.28 1014 989.04 NA 736.32 NA NA 1054.56 1063.92 NA 1079.52 NA 1004.64 NA NA NA 960.959999999999 NA NA NA 436.8 NA 970.319999999999 NA NA NA NA NA NA NA 876.72 NA 1076.4 NA NA NA 1023.36 NA 780 836.16 NA
NA 563.399999999998 353.689999999998 NA 269.179999999999 NA 237.879999999999 NA NA NA 294.219999999999 425.679999999998 532.099999999998 NA NA NA 541.489999999998 NA NA NA NA NA NA 456.979999999998 NA 647.909999999997 NA NA NA NA NA 557.139999999998 NA NA 253.529999999999 NA NA NA 363.079999999998 528.969999999998 NA NA NA 291.089999999999 375.599999999998 NA 557.139999999998 NA NA 585.309999999997 NA NA NA 588.439999999997 291.089999999999 NA NA 222.229999999999 NA NA NA
960.959999999999 NA NA NA NA 670.8 NA 886.079999999999 845.52 995.28 NA NA NA 1032.72 932.88 NA NA NA NA NA 979.679999999999 1004.64 1007.76 NA 739.44 NA NA 1048.32 1035.84 NA 1060.8 NA 1035.84 NA NA NA 923.52 NA NA NA 480.48 NA 964.079999999999 NA NA NA NA NA NA NA 914.16 NA 1048.32 NA NA NA 995.28 NA 829.92 876.72 NA
NA 550.879999999998 334.909999999999 NA 256.659999999999 NA 237.879999999999 NA NA NA 266.049999999999 431.939999999998 535.229999999998 NA NA NA 588.439999999997 NA NA NA NA NA NA 422.549999999998 NA 663.559999999997 NA NA NA NA NA 532.099999999998 NA NA 200.319999999999 NA NA NA 372.469999999998 494.539999999998 NA NA NA 287.959999999999 416.289999999998 NA 566.529999999998 NA NA 600.959999999997 NA NA NA 622.869999999997 287.959999999999 NA NA 215.969999999999 NA NA NA
776.88 NA NA NA NA 539.76 NA 789.36 552.24 932.88 NA NA NA 942.239999999999 876.72 NA NA NA NA NA 914.16 929.76 904.799999999999 NA 648.96 NA NA 970.319999999999 967.199999999999 NA 1004.64 NA 970.319999999999 NA NA NA 901.679999999999 NA NA NA 505.44 NA 833.04 NA NA NA NA NA NA NA 839.28 NA 967.199999999999 NA NA NA 917.28 NA 689.52 755.04 NA
795.6 NA NA NA NA 536.64 NA 804.96 564.72 920.4 NA NA NA 960.959999999999 854.88 NA NA NA NA NA 936 970.319999999999 936 NA 630.24 NA NA 985.92 982.799999999999 NA 1017.12 NA 989.04 NA NA NA 817.44 NA NA NA 492.96 NA 882.96 NA NA NA NA NA NA NA 764.4 NA 992.16 NA NA NA 914.16 NA 645.84 717.6 NA
845.52 NA NA NA NA 645.84 NA 795.6 811.2 901.679999999999 NA NA NA 914.16 792.48 NA NA NA NA NA 898.559999999999 911.04 870.48 NA 705.12 NA NA 954.719999999999 960.959999999999 NA 954.719999999999 NA 948.479999999999 NA NA NA 842.4 NA NA NA 499.2 NA 920.4 NA NA NA NA NA NA NA 867.36 NA 942.239999999999 NA NA NA 889.199999999999 NA 764.4 786.24 NA
NA 538.359999999998 384.989999999998 NA 281.699999999999 NA 231.619999999999 NA NA NA 269.179999999999 425.679999999998 544.619999999998 NA NA NA 510.189999999998 NA NA NA NA NA NA 444.459999999998 NA 647.909999999997 NA NA NA NA NA 566.529999999998 NA NA 294.219999999999 NA NA NA 391.249999999998 516.449999999998 NA NA NA 344.299999999999 406.899999999998 NA 550.879999999998 NA NA 560.269999999998 NA NA NA 563.399999999998 297.349999999999 NA NA 203.449999999999 NA NA NA
911.04 NA NA NA NA 602.16 NA 854.88 661.44 982.799999999999 NA NA NA 979.679999999999 945.359999999999 NA NA NA NA NA 967.199999999999 973.439999999999 942.239999999999 NA 730.08 NA NA 954.719999999999 1042.08 NA 1042.08 NA 1029.6 NA NA NA 917.28 NA NA NA 418.08 NA 979.679999999999 NA NA NA NA NA NA NA 733.2 NA 1042.08 NA NA NA 976.559999999999 NA 745.68 758.16 NA
324.48 NA NA NA NA 330.72 NA 330.72 336.96 340.08 NA NA NA 333.84 340.08 305.76 NA NA 343.2 NA 336.96 336.96 321.36 NA NA NA NA 340.08 336.96 NA 343.2 NA 340.08 NA NA 330.72 327.6 NA NA NA 280.8 NA 340.08 NA NA NA NA NA NA NA 340.08 NA 343.2 NA NA NA 336.96 NA 308.88 315.12 NA
NA 450.719999999998 410.029999999998 NA 372.469999999998 NA 297.349999999999 NA NA NA 256.659999999999 394.379999999998 456.979999999998 NA NA NA 466.369999999998 NA NA NA NA NA NA 453.849999999998 NA 554.009999999998 NA NA NA NA NA 475.759999999998 NA NA 247.269999999999 NA NA NA 381.859999999998 338.039999999999 NA NA NA 378.729999999998 438.199999999998 NA 557.139999999998 NA NA 494.539999999998 NA NA NA 525.839999999998 397.509999999998 NA NA 212.839999999999 NA NA NA
733.2 NA NA NA NA 648.96 NA 711.36 751.92 745.68 NA NA NA 720.72 717.6 NA NA NA NA NA 730.08 742.56 711.36 NA 648.96 NA NA 745.68 739.44 NA 755.04 NA 755.04 NA NA NA 648.96 NA NA NA 464.88 NA 748.8 NA NA NA NA NA NA NA 726.96 NA 751.92 NA NA NA 745.68 NA 661.44 692.64 NA
