"2018-05-18" "2018-05-20" "2018-05-27" "2018-05-29" "2018-06-06" "2018-06-07" "2018-06-08" "2018-06-23" "2018-06-27" "2018-07-03" "2018-07-04" "2018-07-13" "2018-07-21" "2018-07-22" "2018-07-23" "2018-07-29" "2018-07-30" "2018-09-08" "2018-09-10" "2018-09-13" "2018-09-14" "2016-07-26" "2016-09-07" "2017-06-03" "2017-06-21" "2017-07-03" "2017-07-14" "2017-07-19" "2017-07-29" "2017-07-30" "2017-08-31" "2017-09-03" "2017-09-08" "2017-09-14" "2017-09-15" "2017-09-16" "2017-09-17" "2017-09-02"
65.73 62.6 43.82 NA NA NA 43.82 NA NA NA NA NA NA NA NA NA NA NA NA 31.3 NA NA NA NA NA NA NA NA NA NA 37.56 NA NA 37.56 40.69 34.43 NA NA
34.43 40.69 28.17 NA NA NA 28.17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 18.78 NA NA 18.78 18.78 15.65 NA NA
43.82 46.95 43.82 NA 28.17 NA 65.73 NA NA 18.78 NA NA NA NA NA 18.78 12.52 28.17 34.43 37.56 34.43 18.78 21.91 NA NA NA 18.78 NA 21.91 18.78 NA 34.43 28.17 NA 37.56 31.3 18.78 NA
75.12 71.99 68.86 NA NA NA 62.6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 40.69 NA NA 34.43 34.43 34.43 NA NA
56.34 62.6 56.34 NA 25.04 NA 90.77 NA NA 21.91 NA NA NA NA NA 15.65 9.39 18.78 46.95 43.82 31.3 9.39 15.65 NA NA NA 21.91 NA 18.78 15.65 NA 28.17 18.78 NA 40.69 31.3 15.65 NA
6.26 18.78 12.52 NA NA NA 37.56 NA NA NA NA NA NA NA NA NA NA NA 15.65 12.52 15.65 NA NA NA NA NA 15.65 NA NA NA NA 9.39 NA NA 28.17 18.78 9.39 NA
NA 21.91 15.65 NA NA NA 15.65 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 37.56 NA NA NA NA NA 21.91 NA NA 21.91 25.04 28.17 NA 18.78
43.82 59.47 59.47 25.04 31.3 34.43 93.9 28.17 NA 31.3 12.52 18.78 18.78 18.78 25.04 18.78 18.78 18.78 31.3 28.17 28.17 25.04 25.04 21.91 NA 31.3 40.69 21.91 28.17 25.04 NA 40.69 31.3 NA 37.56 37.56 NA NA
40.69 62.6 59.47 53.21 25.04 28.17 84.51 9.39 NA 28.17 NA 9.39 21.91 18.78 18.78 18.78 15.65 31.3 46.95 43.82 40.69 21.91 28.17 25.04 NA 18.78 21.91 21.91 15.65 21.91 NA 34.43 43.82 NA 53.21 46.95 NA NA
NA 21.91 25.04 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 43.82 NA NA NA NA NA 25.04 NA NA 18.78 25.04 18.78 NA NA
37.56 46.95 40.69 18.78 12.52 3.13 59.47 NA NA 18.78 NA NA NA NA NA NA NA 9.39 21.91 18.78 15.65 NA 15.65 NA NA NA NA NA NA NA NA 12.52 18.78 NA 25.04 21.91 NA NA
37.56 43.82 46.95 18.78 28.17 28.17 90.77 25.04 NA 31.3 15.65 18.78 3.13 NA 21.91 25.04 21.91 18.78 34.43 28.17 18.78 25.04 25.04 18.78 NA 28.17 40.69 25.04 28.17 28.17 NA 37.56 28.17 NA 37.56 37.56 NA NA
NA 18.78 18.78 NA NA NA NA NA 43.82 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 31.3 NA NA NA NA NA 21.91 NA NA 28.17 31.3 34.43 NA NA
43.82 56.34 46.95 NA NA NA 59.47 NA NA NA NA NA NA NA NA NA NA NA NA 28.17 NA NA NA NA NA NA NA NA NA NA 34.43 NA NA 34.43 37.56 31.3 NA NA
18.78 37.56 21.91 NA NA NA 34.43 NA NA NA NA NA NA NA NA NA NA NA NA 9.39 NA NA NA NA NA NA NA NA NA NA 15.65 NA NA 12.52 15.65 15.65 NA NA
15.65 56.34 25.04 NA NA NA 21.91 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 18.78 NA NA 15.65 15.65 15.65 NA 46.95
NA 18.78 15.65 NA NA NA 18.78 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 21.91 NA NA 18.78 18.78 21.91 NA 37.56
NA 15.65 15.65 NA NA NA 9.39 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 21.91 NA NA NA NA NA 15.65 NA NA 12.52 12.52 12.52 NA NA
12.52 56.34 15.65 NA NA NA 28.17 NA NA NA NA NA NA NA NA NA NA NA NA 3.13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 12.52 3.13 NA NA
40.69 40.69 43.82 18.78 NA NA 50.08 NA NA 21.91 NA NA NA NA NA NA NA NA 28.17 28.17 21.91 NA 9.39 NA NA NA NA NA NA NA NA 18.78 15.65 NA 31.3 31.3 NA NA
