Landsat	Sentinel-2	Planet	LS-ST	ST-PL	LS-ST-PL	
15453500	23.34295867	22.83582191	26.34359081	22.82072001	23.18616673	23.0267083
15356000	16.51428538	15.30603356	17.61786777	15.39296021	16.58624616	16.41712222
15485500	17.1904706	12.93200038	22.73144863	15.62595124	22.32689367	22.61178323
15515500	31.00782246	21.28162017	19.07963694	23.81603079	22.73895866	24.63175856
15484000	NA	31.5457504	33.49770556	NA	37.12392589	NA
15493400	NA	29.32315384	94.42381403	NA	67.41671187	NA
15514000	NA	50.83168306	81.23202612	NA	56.53756412	NA
15477740	NA	NA	57.54948864	NA	NA	NA
15493700	NA	NA	51.52986452	NA	NA	NA
15511000	NA	NA	58.05505439	NA	NA	NA
15519100	NA	NA	79.98912056	NA	NA	NA
