"Landsat" "Sentinel-2" "Planet" "LS-ST" "ST-PL" "LS-ST-PL"
"15453500" 0.0591960618100491 0.280893256699488 0.246646838344305 0.331462279929117 0.330016242350173 0.347931586064307
"15356000" 0.277678070731646 0.241972029170099 0.082029902768783 0.270029075135571 0.151338620206223 0.17962653601129
"15485500" 0.832434805762447 0.757270954710529 0.343216391707308 0.847303971379203 0.373339272786811 0.42315497352773
"15515500" 0.60326602913257 0.454130578711941 0.145654342829065 0.46145748183776 0.143009613982572 0.138703249172317
"15484000" NA 0.111850333163989 0.525537488997255 NA 0.186316935128568 NA
"15493400" NA 0.56774740651079 -2.1989765236994 NA -1.15726142221492 NA
"15514000" NA -0.151308987461796 -2.89546910075753 NA -0.580732907917736 NA
"15477740" NA NA -2.02769553840394 NA NA NA
"15493700" NA NA -0.164897368806311 NA NA NA
"15511000" NA NA -0.127051488176046 NA NA NA
"15519100" NA NA -0.12920355797505 NA NA NA
