"Landsat" "Sentinel-2" "Planet" "LS-ST" "ST-PL" "LS-ST-PL"
"15453500" 28.2644211509491 22.960888062888 25.6161042428107 22.9475630035165 23.2676408206061 23.2846357701354
"15356000" 14.4557909127458 14.7818051557117 17.4116168931849 14.9049502059141 16.4066275381449 16.2545311434416
"15485500" 15.1177332115334 14.3913100793429 22.8196266059718 12.2045256378186 22.5583567468298 22.3530775486905
"15515500" 22.1113416337067 19.8238776227767 21.0135462086642 21.1386271302868 22.6917849360264 23.6983827291786
"15484000" NA 31.6088992815415 31.3606366563967 NA 36.6062797336635 NA
"15493400" NA 29.6555758995685 91.2159736062281 NA 72.1678816460782 NA
"15514000" NA 49.6306859298297 88.3934356881027 NA 57.4871262565183 NA
"15477740" NA NA 57.9345912437066 NA NA NA
"15493700" NA NA 52.5654303388642 NA NA NA
"15511000" NA NA 56.7365232063812 NA NA NA
"15519100" NA NA 82.2280445368521 NA NA NA
