"Landsat" "Sentinel-2" "Planet" "LS-ST" "ST-PL" "LS-ST-PL"
"15453500" -89.6143092249695 -89.9597547690109 -95.3966419989856 -90.9092829921455 -90.4536153972516 -90.4889320479068
"15356000" -56.2318931679362 -57.3234132577855 -60.2227455071703 -52.1169502008768 -59.6322768167601 -60.774767606002
"15485500" -85.6363835301159 -97.5473790357055 -98.1435524232155 -97.6938547537319 -90.7839251525026 -90.8890575495676
"15515500" -17.5898738934018 -95.4720426967937 -64.7113082499169 -59.6249844657309 -82.8321916044458 -87.4384906138865
"15484000" NA -89.0371359227851 -91.9329226159851 NA -90.3240530502396 NA
"15493400" NA -92.7592391249853 -35.6909440079022 NA -71.4846141588068 NA
"15514000" NA -83.0673935717909 -49.75866007784 NA -78.6599328952198 NA
"15477740" NA -80.9355367248863 -52.2486739521433 NA -33.6200103098874 NA
"15493700" NA -83.5386692197362 -88.7442164128535 NA -85.902735857193 NA
"15511000" NA NA -49.5181847431933 NA NA NA
"15519100" NA NA 1.68675914395395 NA NA NA
