"Landsat" "Sentinel-2" "Planet" "LS-ST" "ST-PL" "LS-ST-PL"
"15453500" 67.0178240894764 58.4742651253059 51.3028175752931 52.9407104051775 43.7477128765905 50.3661369315406
"15356000" 39.959502391003 41.021029623486 -3.03010901376575 47.1300476092557 32.5172379079111 65.477429826559
"15485500" -38.9178166366994 -39.5746281860676 -59.2203134160733 -39.1876576700965 -48.7343405721469 -44.3012766702479
"15515500" -26.8475637871152 4.06199482291615 -12.0972373395286 -1.97375290815664 -25.6450794740494 -27.9530457083632
"15484000" NA -52.8409143633207 -52.5760445685697 NA -52.0467596724669 NA
"15493400" NA -30.6958501217555 28.0977114585337 NA -4.73320288492949 NA
"15514000" NA 33.5934031487579 70.6457990778436 NA 54.1174099964354 NA
"15477740" NA -32.999315546663 -30.4421254010961 NA -22.2223647373479 NA
"15493700" NA 26.5176735338395 23.187776823023 NA 6.233171893241 NA
"15511000" NA NA 112.117276456313 NA NA NA
"15519100" NA NA 301.29245593634 NA NA NA
