"gaugeID" "time" "q_cfs"
15485500 2016-05-15 "16593"
15485500 2016-05-16 "18864"
15485500 2016-05-17 "20659"
15485500 2016-05-18 "23246"
15485500 2016-05-19 "22910"
15485500 2016-05-20 "21719"
15485500 2016-05-21 "21235"
15485500 2016-05-22 "21840"
15485500 2016-05-23 "23990"
15485500 2016-05-24 "25645"
15485500 2016-05-25 "25769"
15485500 2016-05-26 "24754"
15485500 2016-05-27 "23353"
15485500 2016-05-28 "22814"
15485500 2016-05-29 "21840"
15485500 2016-05-30 "21364"
15485500 2016-05-31 "21799"
15485500 2016-06-01 "21835"
15485500 2016-06-02 "21598"
15485500 2016-06-03 "21767"
15485500 2016-06-04 "22529"
15485500 2016-06-05 "23581"
15485500 2016-06-06 "24300"
15485500 2016-06-07 "25670"
15485500 2016-06-08 "26120"
15485500 2016-06-09 "25927"
15485500 2016-06-10 "25672"
15485500 2016-06-11 "25932"
15485500 2016-06-12 "27692"
15485500 2016-06-13 "29536"
15485500 2016-06-14 "32686"
15485500 2016-06-15 "33992"
15485500 2016-06-16 "32166"
15485500 2016-06-17 "30725"
15485500 2016-06-18 "30896"
15485500 2016-06-19 "32623"
15485500 2016-06-20 "34514"
15485500 2016-06-21 "35488"
15485500 2016-06-22 "35491"
15485500 2016-06-23 "35466"
15485500 2016-06-24 "36333"
15485500 2016-06-25 "37012"
15485500 2016-06-26 "37561"
15485500 2016-06-27 "38923"
15485500 2016-06-28 "39600"
15485500 2016-06-29 "40678"
15485500 2016-06-30 "42157"
15485500 2016-07-01 "43954"
15485500 2016-07-02 "46980"
15485500 2016-07-03 "48938"
15485500 2016-07-04 "50646"
15485500 2016-07-05 "52389"
15485500 2016-07-06 "54993"
15485500 2016-07-07 "56289"
15485500 2016-07-08 "57181"
15485500 2016-07-09 "56280"
15485500 2016-07-10 "55125"
15485500 2016-07-11 "55448"
15485500 2016-07-12 "56195"
15485500 2016-07-13 "56772"
15485500 2016-07-14 "57666"
15485500 2016-07-15 "59861"
15485500 2016-07-16 "63424"
15485500 2016-07-17 "67144"
15485500 2016-07-18 "67720"
15485500 2016-07-19 "67652"
15485500 2016-07-20 "73209"
15485500 2016-07-21 "75170"
15485500 2016-07-22 "77242"
15485500 2016-07-23 "80210"
15485500 2016-07-24 "79258"
15485500 2016-07-25 "76079"
15485500 2016-07-26 "74440"
15485500 2016-07-27 "72846"
15485500 2016-07-28 "69981"
15485500 2016-07-29 "68578"
15485500 2016-07-30 "68958"
15485500 2016-07-31 "71212"
15485500 2016-08-01 "72901"
15485500 2016-08-02 "70207"
15485500 2016-08-03 "67469"
15485500 2016-08-04 "66494"
15485500 2016-08-05 "64754"
15485500 2016-08-06 "63968"
15485500 2016-08-07 "63650"
15485500 2016-08-08 "66562"
15485500 2016-08-09 "72521"
15485500 2016-08-10 "72988"
15485500 2016-08-11 "66554"
15485500 2016-08-12 "61626"
15485500 2016-08-13 "58445"
15485500 2016-08-14 "61615"
15485500 2016-08-15 "61422"
15485500 2016-08-16 "57438"
15485500 2016-08-17 "53505"
15485500 2016-08-18 "52569"
15485500 2016-08-19 "51334"
15485500 2016-08-20 "48762"
15485500 2016-08-21 "46720"
15485500 2016-08-22 "45734"
15485500 2016-08-23 "45881"
15485500 2016-08-24 "46695"
15485500 2016-08-25 "48600"
15485500 2016-08-26 "50536"
15485500 2016-08-27 "52878"
15485500 2016-08-28 "54282"
15485500 2016-08-29 "52906"
15485500 2016-08-30 "51788"
15485500 2016-08-31 "48303"
15485500 2016-09-01 "45514"
15485500 2016-09-02 "43195"
15485500 2016-09-03 "41022"
15485500 2016-09-04 "39060"
15485500 2016-09-05 "37709"
15485500 2016-09-06 "37324"
15485500 2016-09-07 "37350"
15485500 2016-09-08 "37338"
15485500 2016-09-09 "36131"
15485500 2016-09-10 "35317"
15485500 2016-09-11 "34634"
15485500 2016-09-12 "33946"
15485500 2016-09-13 "33474"
15485500 2016-09-14 "35805"
15485500 2016-09-15 "36941"
15485500 2016-09-16 "35080"
15485500 2016-09-17 "32868"
15485500 2016-09-18 "32017"
15485500 2016-09-19 "30618"
15485500 2016-09-20 "29334"
15485500 2016-09-21 "27962"
15485500 2016-09-22 "26974"
15485500 2016-09-23 "26789"
15485500 2016-09-24 "26735"
15485500 2016-09-25 "25618"
15485500 2016-09-26 "24527"
15485500 2016-09-27 "23608"
15485500 2016-09-28 "22514"
15485500 2016-09-29 "21661"
15485500 2016-09-30 "20931"
15485500 2016-10-01 "20459"
15485500 2016-10-02 "19725"
15485500 2016-10-03 "19075"
15485500 2016-10-04 "18519"
15485500 2016-10-05 "17932"
15485500 2016-10-06 "17366"
15485500 2016-10-07 "16709"
15485500 2016-10-08 "16110"
15485500 2016-10-09 "15614"
15485500 2016-10-10 "15204"
15485500 2016-10-11 "14809"
15485500 2016-10-12 "14666"
15485500 2016-10-13 "14318"
15485500 2016-10-14 "13704"
15485500 2016-10-15 "13756"
15485500 2016-10-16 "12910"
15485500 2016-10-17 "11569"
15485500 2016-10-18 "11115"
15485500 2016-10-19 NA
15485500 2017-04-02 " 6300"
15485500 2017-04-03 " 6300"
15485500 2017-04-04 " 6300"
15485500 2017-04-05 " 6300"
15485500 2017-04-06 " 6300"
15485500 2017-04-07 " 6300"
15485500 2017-04-08 " 6300"
15485500 2017-04-09 " 6300"
15485500 2017-04-10 " 6300"
15485500 2017-04-11 " 6300"
15485500 2017-04-12 " 6300"
15485500 2017-04-13 " 6300"
15485500 2017-04-14 " 6300"
15485500 2017-04-15 " 6300"
15485500 2017-04-16 " 6300"
15485500 2017-04-17 " 6300"
15485500 2017-04-18 " 6300"
15485500 2017-04-19 " 6300"
15485500 2017-04-20 " 6300"
15485500 2017-04-21 " 6310"
15485500 2017-04-22 " 6340"
15485500 2017-04-23 " 6365"
15485500 2017-04-24 " 6435"
15485500 2017-04-25 " 6530"
15485500 2017-04-26 " 6700"
15485500 2017-04-27 " 7085"
15485500 2017-04-28 " 7690"
15485500 2017-04-29 " 8650"
15485500 2017-04-30 "10060"
15485500 2017-05-01 "12400"
15485500 2017-05-02 "16200"
15485500 2017-05-03 "19500"
15485500 2017-05-04 "20900"
15485500 2017-05-05 "19334"
15485500 2017-05-06 "19481"
15485500 2017-05-07 "20329"
15485500 2017-05-08 "20315"
15485500 2017-05-09 "21979"
15485500 2017-05-10 "22965"
15485500 2017-05-11 "24129"
15485500 2017-05-12 "26314"
15485500 2017-05-13 "26454"
15485500 2017-05-14 "26105"
15485500 2017-05-15 "28680"
15485500 2017-05-16 "34027"
15485500 2017-05-17 "33990"
15485500 2017-05-18 "30623"
